gene,tier,split
TPS1,housekeeping,train
CD3E,housekeeping,train
RPS5,housekeeping,train
CD79B,housekeeping,train
CYP2E1,housekeeping,train
GSTM1,housekeeping,train
HLA_DMA,housekeeping,train
HLA_E,housekeeping,train
ADRA2A,housekeeping,train
CFTR,housekeeping,train
UBB,housekeeping,train
YAP1,hardneg,external
ATG5,hardneg,external
APAF1,hardneg,external
RIPK1,hardneg,train
CASP7,hardneg,train
DUOX2,hardneg,train
RIPK3,hardneg,train
TNFRSF1A,hardneg,train
BBC3,hardneg,train
FADS1,hardneg,train
TF,hardneg,train
MLKL,hardneg,train
DDR2,hardneg,train
ANXA5,hardneg,train
DFFB,hardneg,train
ATG3,hardneg,train
SLC1A5,hardneg,train
BCL2,hardneg,train
BID,hardneg,train
ACVR1B,hardneg,train
ATF3,hardneg,train
TRADD,hardneg,train
